ID,timestamp,logical_time,level,event
56965,11/25/2016 10:20,0:19:27,3,Correct flag submited
56896,11/25/2016 10:21,0:21:04,3,Hint 3 taken
56942,11/25/2016 10:24,0:19:28,3,Correct flag submited
56896,11/25/2016 10:24,0:24:21,3,Correct flag submited
56385,11/25/2016 10:25,0:25:40,3,Hint 1 taken
57218,11/25/2016 10:25,0:31:40,3,Wrong flag submited:9098
57241,11/25/2016 10:25,0:31:35,3,Wrong flag submited:9098
57218,11/25/2016 10:27,0:33:24,3,Correct flag submited
57264,11/25/2016 10:27,0:20:31,3,Correct flag submited
57057,11/25/2016 10:27,0:32:04,2,Wrong flag submited:03d1
57241,11/25/2016 10:27,0:33:44,3,Correct flag submited
57218,11/25/2016 10:28,0:00:57,4,Hint 2 taken
57241,11/25/2016 10:28,0:00:27,4,Hint 1 taken
57057,11/25/2016 10:28,0:32:43,2,Correct flag submited
56873,11/25/2016 10:28,0:15:13,3,Hint 1 taken
57034,11/25/2016 10:28,0:16:05,3,Correct flag submited
56873,11/25/2016 10:28,0:15:16,3,Hint 2 taken
56385,11/25/2016 10:29,0:29:40,3,Wrong flag submited:5121
57080,11/25/2016 10:29,0:24:05,3,Correct flag submited
56385,11/25/2016 10:30,0:30:52,3,Wrong flag submited:0902
56385,11/25/2016 10:30,0:31:06,3,Wrong flag submited:e8ff
56385,11/25/2016 10:31,0:31:53,3,Wrong flag submited:0902
56385,11/25/2016 10:31,0:32:02,3,Wrong flag submited:e8ff
57011,11/25/2016 10:31,0:21:26,4,Wrong flag submited:63e8
57011,11/25/2016 10:32,0:21:46,4,Wrong flag submited:23cb
56873,11/25/2016 10:32,0:19:27,3,Hint 3 taken
56385,11/25/2016 10:33,0:33:58,3,Correct flag submited
56896,11/25/2016 10:34,0:09:21,4,Hint 1 taken
56896,11/25/2016 10:34,0:09:28,4,Hint 2 taken
57172,11/25/2016 10:36,0:42:25,3,Correct flag submited
56896,11/25/2016 10:36,0:12:09,4,Wrong flag submited:693e
57149,11/25/2016 10:37,0:42:45,3,Correct flag submited
56942,11/25/2016 10:38,0:14:23,4,Hint 2 taken
56988,11/25/2016 10:38,0:23:45,4,Wrong flag submited:693e
56919,11/25/2016 10:39,0:26:15,4,Hint 1 taken
57172,11/25/2016 10:41,0:04:35,4,Hint 1 taken
57172,11/25/2016 10:41,0:04:36,4,Hint 2 taken
57149,11/25/2016 10:41,0:04:11,4,Hint 1 taken
57149,11/25/2016 10:41,0:04:12,4,Hint 2 taken
56988,11/25/2016 10:41,0:26:09,4,Wrong flag submited:703f
56988,11/25/2016 10:41,0:26:44,4,Wrong flag submited:2765
56873,11/25/2016 10:43,0:30:31,3,Level cowardly skipped
56873,11/25/2016 10:44,0:00:23,4,Hint 1 taken
56873,11/25/2016 10:45,0:02:02,4,Wrong flag submited:693e
57057,11/25/2016 10:48,0:20:29,3,Correct flag submited
57195,11/25/2016 10:50,0:41:10,4,Wrong flag submited:8f96
57195,11/25/2016 10:50,0:41:33,4,Wrong flag submited:63e8
57195,11/25/2016 10:52,0:43:01,4,Wrong flag submited:ded1
57195,11/25/2016 10:53,0:43:44,4,Wrong flag submited:7f7a
56873,11/25/2016 10:54,0:10:50,4,Level cowardly skipped
57195,11/25/2016 10:55,0:46:03,4,Hint 2 taken
56873,11/25/2016 10:57,0:02:42,5,Hint 1 taken
56873,11/25/2016 10:57,0:02:46,5,Hint 2 taken
57149,11/25/2016 10:57,0:20:28,4,Help level accessed
57172,11/25/2016 10:57,0:21:04,4,Help level accessed
56919,11/25/2016 11:00,0:47:09,4,Hint 2 taken
57011,11/25/2016 11:00,0:50:13,4,Wrong flag submited:0688
56988,11/25/2016 11:00,0:45:54,4,Wrong flag submited:5065
56988,11/25/2016 11:01,0:46:00,4,Wrong flag submited:5065
57011,11/25/2016 11:02,0:51:44,4,Wrong flag submited:03be
56385,11/25/2016 11:04,0:30:35,4,Hint 2 taken
